t_s,status,grams
0.212,D,51.2578
0.212,D,51.2576
0.212,D,51.2574
0.415,D,51.2573
0.415,D,51.2571
0.415,D,51.2569
0.415,D,51.2567
0.415,D,51.2565
0.618,D,51.2563
0.618,D,51.2561
0.618,D,51.2560
0.618,D,51.2558
0.824,D,51.2557
0.824,D,51.2556
0.824,D,51.2556
0.824,D,51.2555
0.824,D,51.2553
1.026,D,51.2552
1.026,D,51.2552
1.026,D,51.2552
1.026,D,51.2552
1.026,D,51.2552
1.227,D,51.2552
1.227,D,51.2551
1.227,D,51.2551
1.227,D,51.2551
1.429,D,51.2551
1.429,D,51.2551
1.429,D,51.2551
1.429,D,51.2551
1.429,D,51.2551
1.632,D,51.2551
1.632,D,51.2551
1.632,D,51.2551
1.632,D,51.2551
1.834,D,51.2551
1.834,D,51.2551
1.834,D,51.2551
1.834,D,51.2551
1.834,D,51.2551
2.035,D,51.2551
2.035,D,51.2551
2.035,D,51.2551
2.035,D,51.2551
2.035,D,51.2551
2.238,D,51.2551
2.238,D,51.2551
2.238,D,51.2551
2.238,D,51.2551
2.442,D,51.2551
2.442,D,51.2551
2.442,D,51.2551
2.442,D,51.2551
2.442,D,51.2551
2.645,D,51.2551
2.645,D,51.2551
2.645,D,51.2550
2.645,D,51.2550
2.645,D,51.2549
2.848,D,51.2549
2.848,D,51.2549
2.848,D,51.2549
2.848,D,51.2549
3.050,D,51.2549
3.050,D,51.2549
3.051,D,51.2549
3.051,D,51.2549
3.051,D,51.2549
3.253,D,51.2549
3.253,D,51.2549
3.253,D,51.2549
3.253,D,51.2549
3.253,D,51.2549
3.457,D,51.2549
3.457,D,51.2549
3.457,D,51.2823
3.458,D,51.2989
3.659,D,51.2997
3.659,D,51.3001
3.659,D,51.3000
3.659,D,51.2997
3.659,D,51.2995
3.859,D,51.2992
3.859,D,51.2990
3.859,D,51.2988
3.859,D,51.2985
4.062,D,51.2983
4.062,D,51.2981
4.062,D,51.2979
4.062,D,51.2978
4.063,D,51.2977
4.267,D,51.2976
4.267,D,51.2975
4.267,D,51.2974
4.267,D,51.2973
4.472,D,51.2971
4.472,D,51.2970
4.472,D,51.2970
4.472,D,51.2970
4.472,D,51.2970
4.674,D,51.2970
4.674,D,51.2970
4.674,D,51.2970
4.674,D,51.2970
4.674,D,51.2970
4.878,D,51.2969
4.878,D,51.2969
